spotify_artists_name_0,spotify_artists_name_1,spotify_artists_name_2,spotify_artist_id_0,spotify_artist_id_1,spotify_artist_id_2,song_name,spotify_track_id,album_name,http_status_code,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,popularity_track,popularity_artist,album_release_date,total_tracks,duration_min,BPM,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,time_signature_confidence,end_of_fade_in,start_of_fade_out,tempo_confidence,mode_confidence,key_confidence,beat_start,beat_duration,beat_confidence,beats_length,tatum_start,tatum_duration,tatum_confidence,tatum_length,bars_start,bars_duration,bars_confidence,bars_length
Kendrick Lamar,NA,NA,2YZyLoL8N0Wb9xBt1NhZWg,NA,NA,Not Like Us,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,200200,conscious hip hop,hip hop,rap,west coast rap,NA,NA,NA,NA,NA,NA,97,92,2024-05-04,1,4.566666666666666,101.061,0.898,0.472,-7.001,1,0.0776,0.0107,0,0.141,0.214,4,0.998,0.0,271.63864,0.596,0.324,0.387,136.3612112826088,0.5940109782608697,0.777197826086957,460,136.50971415217384,0.2970053478260872,0.7771978260869569,920,134.6572088596491,2.3759037719298255,0.46245614035087723,114
Don Toliver,Travis Scott,NA,4Gso3d4CscCijv0lmajZWs,0Y5tJX1MQlPlqiwlOH1tJY,NA,You (feat. Travis Scott),4qS2KPWvsQzLvRa9oCHw41,Life of a DON,200200,rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,85,2021-10-08,16,3.55,117.977,0.782,0.528,-6.035,0,0.0532,0.409,7.89e-05,0.0999,0.389,4,1.0,0.06458,208.65451,0.715,0.706,0.747,105.53639870192312,0.508363918269231,0.5945144230769228,416,105.66348974759612,0.254181730769231,0.5945144230769226,832,105.28197242718444,2.033005145631069,0.43066990291262136,103
Don Toliver,Travis Scott,NA,4Gso3d4CscCijv0lmajZWs,0Y5tJX1MQlPlqiwlOH1tJY,NA,You (feat. Travis Scott),4qS2KPWvsQzLvRa9oCHw41,Life of a DON,200200,rap,slap house,NA,NA,NA,NA,NA,NA,NA,NA,74,93,2021-10-08,16,3.55,117.977,0.782,0.528,-6.035,0,0.0532,0.409,7.89e-05,0.0999,0.389,4,1.0,0.06458,208.65451,0.715,0.706,0.747,105.53639870192312,0.508363918269231,0.5945144230769228,416,105.66348974759612,0.254181730769231,0.5945144230769226,832,105.28197242718444,2.033005145631069,0.43066990291262136,103
Megan Thee Stallion,千葉雄喜,NA,181bsRPaVXVlUKXrxwZfHK,6Qhgat07PNOdnJSnCXJigu,NA,Mamushi (feat. Yuki Chiba),5b3XJ1pjrHO5JtY2PcTjnI,MEGAN,200200,houston rap,pop,r&b,rap,trap queen,NA,NA,NA,NA,NA,87,83,2024-06-28,18,2.6,81.036,0.892,0.531,-4.968,1,0.207,0.033,0,0.0824,0.209,4,1.0,0.0,153.04272,0.401,0.326,0.458,77.78770540669855,0.7408281339712919,0.8613684210526312,209,77.97291253588517,0.37041416267942573,0.8613684210526317,418,77.04672294117647,2.9629682352941176,0.551764705882353,51
Megan Thee Stallion,千葉雄喜,NA,181bsRPaVXVlUKXrxwZfHK,6Qhgat07PNOdnJSnCXJigu,NA,Mamushi (feat. Yuki Chiba),5b3XJ1pjrHO5JtY2PcTjnI,MEGAN,200200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,71,2024-06-28,18,2.6,81.036,0.892,0.531,-4.968,1,0.207,0.033,0,0.0824,0.209,4,1.0,0.0,153.04272,0.401,0.326,0.458,77.78770540669855,0.7408281339712919,0.8613684210526312,209,77.97291253588517,0.37041416267942573,0.8613684210526317,418,77.04672294117647,2.9629682352941176,0.551764705882353,51
Childish Gambino,NA,NA,73sIBHcqh3Z3NyqHKZ7FOL,NA,NA,Heartbeat,0zo4aX57COch7Wh3NRImTM,Camp,200200,atl hip hop,hip hop,rap,NA,NA,NA,NA,NA,NA,NA,79,83,2011-11-15,13,4.483333333333333,119.954,0.8,0.545,-7.002,0,0.127,0.00369,0.000461,0.0445,0.294,4,1.0,7.47683,266.30966,0.706,0.307,0.46,134.77470960966548,0.4999221189591077,0.5493921933085497,538,134.89968986988845,0.24996096654275085,0.5493921933085499,1076,133.8186838235294,1.970376764705883,0.48459558823529414,136
Baby Keem,NA,NA,5SXuuuRpukkTvsLuUknva1,NA,NA,ORANGE SODA,5FkoSXiJPKTNyYgALRJFhD,DIE FOR MY BITCH,200200,hip hop,rap,NA,NA,NA,NA,NA,NA,NA,NA,78,77,2019-07-19,14,2.15,85.042,0.83,0.564,-7.822,1,0.235,0.177,0,0.128,0.107,4,1.0,0.0,129.88235,0.535,0.6,0.567,64.96474666666666,0.7056337158469943,0.7809398907103824,183,65.14115500000003,0.3528172677595626,0.7809398907103827,366,62.555385,2.889273181818181,0.5041818181818182,44
Lil Uzi Vert,Pharrell Williams,NA,4O15NlyKLIASxsJ0PrXPfz,2RdwBSPQiwcmiDo9kixcl8,NA,Neon Guts (feat. Pharrell Williams),1MJErNPIQUoEMu4YUUmecm,Luv Is Rage 2,200200,hip hop,melodic rap,philly rap,rage rap,rap,trap,NA,NA,NA,NA,69,84,2017-08-25,16,4.3,119.934,0.859,0.563,-6.635,0,0.112,0.0541,0,0.0685,0.412,4,0.971,0.0,244.57578,0.432,0.386,0.324,127.81462552734378,0.4994882226562493,0.682537109375,512,127.9394977246093,0.24974396484375,0.6825371093749992,1024,127.56378763779526,1.9980690551181097,0.43832283464566935,127
Lil Uzi Vert,Pharrell Williams,NA,4O15NlyKLIASxsJ0PrXPfz,2RdwBSPQiwcmiDo9kixcl8,NA,Neon Guts (feat. Pharrell Williams),1MJErNPIQUoEMu4YUUmecm,Luv Is Rage 2,200200,dance pop,pop,NA,NA,NA,NA,NA,NA,NA,NA,69,79,2017-08-25,16,4.3,119.934,0.859,0.563,-6.635,0,0.112,0.0541,0,0.0685,0.412,4,0.971,0.0,244.57578,0.432,0.386,0.324,127.81462552734378,0.4994882226562493,0.682537109375,512,127.9394977246093,0.24974396484375,0.6825371093749992,1024,127.56378763779526,1.9980690551181097,0.43832283464566935,127
Kendrick Lamar,Blxst,Amanda Reifer,2YZyLoL8N0Wb9xBt1NhZWg,4qXC0i02bSFstECuXP2ZpL,1PpDfXOUG7gxUjR1quWnwp,Die Hard,2g6tReTlM2Akp41g0HaeXN,Mr. Morale & The Big Steppers,200200,conscious hip hop,hip hop,rap,west coast rap,NA,NA,NA,NA,NA,NA,75,92,2022-05-13,19,3.9833333333333334,100.988,0.775,0.736,-8.072,0,0.247,0.319,0.00116,0.127,0.362,4,1.0,0.12177,236.15855,0.519,0.543,0.606,118.61357394999999,0.5936945750000003,0.5952175000000001,400,118.76199733749996,0.29684707499999985,0.595217499999999,800,118.1037045,2.3509567999999996,0.5853099999999999,100
Kendrick Lamar,Blxst,Amanda Reifer,2YZyLoL8N0Wb9xBt1NhZWg,4qXC0i02bSFstECuXP2ZpL,1PpDfXOUG7gxUjR1quWnwp,Die Hard,2g6tReTlM2Akp41g0HaeXN,Mr. Morale & The Big Steppers,200200,pop rap,westcoast flow,NA,NA,NA,NA,NA,NA,NA,NA,75,69,2022-05-13,19,3.9833333333333334,100.988,0.775,0.736,-8.072,0,0.247,0.319,0.00116,0.127,0.362,4,1.0,0.12177,236.15855,0.519,0.543,0.606,118.61357394999999,0.5936945750000003,0.5952175000000001,400,118.76199733749996,0.29684707499999985,0.595217499999999,800,118.1037045,2.3509567999999996,0.5853099999999999,100
Kendrick Lamar,Blxst,Amanda Reifer,2YZyLoL8N0Wb9xBt1NhZWg,4qXC0i02bSFstECuXP2ZpL,1PpDfXOUG7gxUjR1quWnwp,Die Hard,2g6tReTlM2Akp41g0HaeXN,Mr. Morale & The Big Steppers,200200,barbadian pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,58,2022-05-13,19,3.9833333333333334,100.988,0.775,0.736,-8.072,0,0.247,0.319,0.00116,0.127,0.362,4,1.0,0.12177,236.15855,0.519,0.543,0.606,118.61357394999999,0.5936945750000003,0.5952175000000001,400,118.76199733749996,0.29684707499999985,0.595217499999999,800,118.1037045,2.3509567999999996,0.5853099999999999,100
Gunna,NA,NA,2hlmm7s2ICUX0LVIhVFlZQ,NA,NA,fukumean,4rXLjWdF2ZZpXCVTfWcshS,a Gift & a Curse,200200,atl hip hop,melodic rap,rap,trap,NA,NA,NA,NA,NA,NA,87,86,2023-06-16,15,2.0833333333333335,130.001,0.847,0.622,-6.747,0,0.0903,0.119,0,0.285,0.22,4,1.0,0.0,125.04,0.605,0.624,0.656,62.34612022140218,0.46124332103321025,0.71079704797048,271,62.461430682656825,0.23062162361623598,0.7107970479704782,542,61.800061060606055,1.8675110606060605,0.44107575757575757,66
Flo Milli,NA,NA,08PvCOlef4xdOr20jFSTPd,NA,NA,Never Lose Me,2x2olWuWXpqjoeE4bO1NFS,"Fine Ho, Stay",200200,viral rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,73,2024-03-15,14,2.0833333333333335,121.971,0.781,0.569,-7.858,1,0.0978,0.0534,0,0.098,0.0739,4,1.0,0.0,125.90163,0.588,0.71,0.819,61.24632783999997,0.49105844000000015,0.574,250,61.369092660000035,0.24552923999999987,0.574,500,61.31850661290323,1.9490924193548387,0.489274193548387,62
Big Sean,NA,NA,0c173mlxpT3dSFRgMO8XPh,NA,NA,Bounce Back,0SGkqnVQo9KPytSri1H6cF,I Decided.,200200,detroit hip hop,hip hop,pop rap,r&b,rap,southern hip hop,trap,NA,NA,NA,66,78,2017-02-03,14,3.7,81.529,0.785,0.575,-5.628,0,0.133,0.105,0,0.129,0.272,4,0.993,0.0,213.72227,0.227,0.444,0.326,107.18083489655177,0.7371706896551717,0.7048448275862063,290,107.36512753448278,0.3685853793103456,0.7048448275862076,580,106.54747166666668,2.9278995833333337,0.5568194444444445,72
Eminem,JID,NA,7dGJo4pcD2V6oG8kP0tJRR,6U3ybJ9UHNKEdsH7ktGBZ7,NA,Fuel,5In8B6Om5OKrhwBMB4tXSi,The Death of Slim Shady (Coup De Grâce),200200,detroit hip hop,hip hop,rap,NA,NA,NA,NA,NA,NA,NA,84,94,2024-07-12,19,3.55,137.981,0.885,0.662,-5.139,1,0.142,0.121,0,0.109,0.117,4,0.996,0.0,208.37587,0.748,0.505,0.729,107.04246364562124,0.4342799592668027,0.6893299389002036,491,107.04252307849124,0.21736133537206884,0.6890744138634044,981,105.7560136885246,1.7304216393442622,0.44497540983606537,122
Eminem,JID,NA,7dGJo4pcD2V6oG8kP0tJRR,6U3ybJ9UHNKEdsH7ktGBZ7,NA,Fuel,5In8B6Om5OKrhwBMB4tXSi,The Death of Slim Shady (Coup De Grâce),200200,hip hop,pop rap,rap,underground hip hop,NA,NA,NA,NA,NA,NA,84,77,2024-07-12,19,3.55,137.981,0.885,0.662,-5.139,1,0.142,0.121,0,0.109,0.117,4,0.996,0.0,208.37587,0.748,0.505,0.729,107.04246364562124,0.4342799592668027,0.6893299389002036,491,107.04252307849124,0.21736133537206884,0.6890744138634044,981,105.7560136885246,1.7304216393442622,0.44497540983606537,122
Don Toliver,Travis Scott,NA,4Gso3d4CscCijv0lmajZWs,0Y5tJX1MQlPlqiwlOH1tJY,NA,INSIDE (FEAT. TRAVIS SCOTT),24p1C9WueGBQLURpKc3oO8,HARDSTONE PSYCHO,200200,rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,85,2024-06-14,16,4.166666666666667,120.84,0.774,0.497,-5.515,0,0.0369,0.215,0,0.0778,0.692,4,1.0,0.0,239.98984,0.663,0.567,0.609,124.37298233067736,0.496188984063745,0.6133067729083669,502,124.49702930278883,0.24809428286852592,0.6133067729083662,1004,123.56478362903225,1.9889993548387093,0.4723467741935482,124
Don Toliver,Travis Scott,NA,4Gso3d4CscCijv0lmajZWs,0Y5tJX1MQlPlqiwlOH1tJY,NA,INSIDE (FEAT. TRAVIS SCOTT),24p1C9WueGBQLURpKc3oO8,HARDSTONE PSYCHO,200200,rap,slap house,NA,NA,NA,NA,NA,NA,NA,NA,69,93,2024-06-14,16,4.166666666666667,120.84,0.774,0.497,-5.515,0,0.0369,0.215,0,0.0778,0.692,4,1.0,0.0,239.98984,0.663,0.567,0.609,124.37298233067736,0.496188984063745,0.6133067729083669,502,124.49702930278883,0.24809428286852592,0.6133067729083662,1004,123.56478362903225,1.9889993548387093,0.4723467741935482,124
