spotify_artists_name_0,spotify_artists_name_1,spotify_artists_name_2,spotify_artist_id_0,spotify_artist_id_1,spotify_artist_id_2,song_name,spotify_track_id,album_name,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,popularity_track,popularity_artist,album_release_date,duration_min,BPM,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,time_signature_confidence,end_of_fade_in,start_of_fade_out,tempo_confidence,mode_confidence,key_confidence,beat_start,beat_duration,beat_confidence,beats_length,tatum_start,tatum_duration,tatum_confidence,tatum_length,bars_start,bars_duration,bars_confidence,bars_length
Eben Brooks,NA,NA,3Zp46gRCScTYhH89q2efS1,NA,NA,The Ballad of Barry Allen,2vzY5OoGAnNbP9aGZLKdDz,"Doctor, Captain, Dovahkiin, Chief",alternative metal,rock,alternative rock,NA,NA,NA,NA,NA,NA,NA,18,20,03/25/2016,4.65,99.955,0.749,0.507,-7.64,1,0.0342,0.171,0.000238,0.0948,0.463,4,1,0,269.961,0.242,0.573,0.473,134.559151,0.600598263,0.557772829,449,134.7093002,0.300299265,0.557772829,898,132.0822041,2.376002389,0.573185841,113
Meet Me @ The Altar,NA,NA,4bzfsZhaLW6VWHLh1sqcrK,NA,NA,Garden,00JfiKSB2Ne3dWu6EGcec9,Garden,black punk,diy emo,indie punk,pixie,pop punk,NA,NA,NA,NA,NA,42,41,10/09/2020,3.666666667,194.815,0.318,0.989,-0.102,1,0.0995,8.03E-05,1.10E-06,0.423,0.576,4,0.99,0,217.5826,0.32,0.69,0.723,109.380372,0.308143873,0.195240845,710,109.4574077,0.154071915,0.195240845,1420,108.6434079,1.225797079,0.486297753,178
Remy Zero,NA,NA,2pZCKLhbrrDD4PwEzrDig3,NA,NA,Save Me,4pkFvX3AkuiSGPkv8gMlks,The Golden Hum,alabama indie,pop rock,NA,NA,NA,NA,NA,NA,NA,NA,60,44,09/18/2001,4.066666667,96.235,0.43,0.971,-3.91,1,0.0672,0.000639,0,0.107,0.294,4,0.929,0.26712,232.43175,0.331,0.72,0.523,118.8298777,0.621984555,0.263536649,382,118.985374,0.31099233,0.263536649,764,117.6259949,2.44891375,0.536875,96
Jason Charles Miller,NA,NA,7pOKRPPfbtv5c7Kdv40LVo,NA,NA,Rules of Nature - Platinum Mix,5ezkLDA74DwQhOROoDp2Pc,METAL GEAR RISING REVENGEANCE Vocal Tracks Selection,alternative metal,nu metal,NA,NA,NA,NA,NA,NA,NA,NA,62,50,02/20/2013,2.5,130.017,0.472,0.995,-4.04,1,0.0852,6.50E-05,0.137,0.133,0.203,4,0.844,0.65596,134.89633,0.441,0.469,0.48,74.4185889,0.463657044,0.269694969,318,74.53450308,0.231828333,0.269694969,636,73.67535026,1.860489487,0.531179487,78
Brand New,NA,NA,168dgYui7ExaU612eooDF1,NA,NA,The Quiet Things That No One Ever Knows,3IlY76VbP31zwPY0S2EMjh,Deja Entendu,emo,pop punk,NA,NA,NA,NA,NA,NA,NA,NA,61,57,06/17/2003,4.016666667,80.284,0.202,0.797,-5.809,1,0.0729,0.0163,3.83E-06,0.0986,0.246,4,0.983,0.10989,234.20807,0.034,0.737,0.714,119.138107,0.786634752,0.265409241,303,119.3347655,0.393317261,0.265409241,606,116.6610663,3.135071867,0.453866667,75
Marilyn Manson,NA,NA,2VYQTNDsvvKN9wmU5W7xpj,NA,NA,The Nobodies,1x8sna2LV8WQ38NEtN5X46,Holy Wood,alternative metal,industrial,industrial metal,industrial rock,nu metal,NA,NA,NA,NA,NA,59,69,11/11/2000,3.583333333,150.072,0.431,0.823,-5.219,1,0.0638,4.60E-05,3.45E-05,0.0447,0.271,4,0.984,0,211.78922,0.419,0.466,0.428,106.8764218,0.398889571,0.252641791,536,106.9761442,0.199444608,0.252641791,1072,105.1055584,1.577800519,0.54562963,135
Lynyrd Skynyrd,NA,NA,4MVyzYMgTwdP7Z49wAZHx0,NA,NA,Free Bird,5EWPGh7jbTNO2wakv8LjUI,Pronounced' Leh-'Nerd 'Skin-'Nerd,album rock,blues rock,classic rock,country rock,hard rock,mellow gold,rock,southern rock,NA,NA,77,71,01/01/1973,9.116666667,118.223,0.249,0.834,-8.21,1,0.0577,0.0738,9.48E-05,0.0924,0.338,4,0.95,0.20544,533.56555,0.104,0.512,0.18,290.0187621,0.44730292,0.251557014,1219,290.1305879,0.223651337,0.251557014,2438,287.9804095,1.789462632,0.508240132,304
Korn,NA,NA,3RNrq3jvMZxD9ZyoOZbQOD,NA,NA,Thoughtless,6HlFxHQ5nn6HYGxOOYIrLm,Untouchables,alternative metal,funk metal,nu metal,rap metal,rock,NA,NA,NA,NA,NA,56,74,06/20/2002,4.533333333,153.993,0.593,0.933,-4.894,1,0.119,0.000445,0.384,0.068,0.497,4,1,0.20354,266.87854,0.439,0.306,0.335,135.5967479,0.389461839,0.446061782,696,135.6941134,0.194730747,0.446061782,1392,135.0127676,1.557819422,0.501919075,173
blink-182,NA,NA,6FBDaR13swtiWwGhX1WQsP,NA,NA,Stay Together For The Kids,3YD9EehnGOf88rGSZFrnHg,Take Off Your Pants And Jacket,pop punk,punk,rock,socal pop punk,NA,NA,NA,NA,NA,NA,66,78,2001,3.983333333,145.125,0.519,0.78,-4.939,1,0.0356,0.00165,2.14E-05,0.156,0.166,4,1,0,220.7521,0.913,0.632,0.654,119.0868245,0.413108042,0.317982669,577,119.1901015,0.20655409,0.317982669,1154,118.2616346,1.640779722,0.493479167,144
Green Day,NA,NA,7oPftvlwr6VrsViSDV7fJY,NA,NA,Brain Stew,1nLnpLXvl68RZCSjfkyiaa,Insomniac,permanent wave,punk,NA,NA,NA,NA,NA,NA,NA,NA,69,78,10/10/1995,3.216666667,75.958,0.559,0.543,-5.429,1,0.302,0.00133,2.00E-05,0.0577,0.337,4,0.995,0,193,0.271,0.496,0.684,97.54864512,0.777615407,0.629317073,246,97.74304923,0.38880748,0.629317073,492,96.50968328,3.097798033,0.546278689,61
Linkin Park,NA,NA,6XyY86QOPPrYVGvF9ch6wz,NA,NA,Faint,4Yf5bqU3NK4kNOypcrLYwU,Meteora,alternative metal,nu metal,post-grunge,rap metal,NA,NA,NA,NA,NA,NA,77,83,03/24/2003,2.7,135.095,0.554,0.978,-3.554,1,0.131,0.111,0,0.0731,0.594,4,1,0.40649,158.7142,0.876,0.401,0.059,81.54736644,0.443744301,0.37909589,365,81.65830247,0.221872082,0.37909589,730,80.65850933,1.782756667,0.468244444,90
Linkin Park,NA,NA,6XyY86QOPPrYVGvF9ch6wz,NA,NA,Papercut,1Vej0qeQ3ioKwpI6FUbRv1,Hybrid Theory (Bonus Edition),alternative metal,nu metal,post-grunge,rap metal,NA,NA,NA,NA,NA,NA,75,83,10/24/2000,3.066666667,150.184,0.524,0.939,-3.994,1,0.113,0.00022,0,0.623,0.661,4,0.92,0.45211,184.86667,0.817,0.358,0.356,92.57458455,0.399118593,0.340794372,462,92.67436443,0.199559329,0.340794372,924,91.67312052,1.580357241,0.582551724,116
